# M nu b b_e b_emu pd pd_e box snap
6.962198e+13 2.371097e+00 3.314114e+00 1.447366e-02 3.335499e+00 -6.411228e-03 4.339280e-03 6 4
8.085097e+13 2.447628e+00 3.531385e+00 1.601647e-02 3.518372e+00 3.698458e-03 4.552238e-03 6 4
9.517826e+13 2.535205e+00 3.732538e+00 1.801238e-02 3.735136e+00 -6.956169e-04 4.822417e-03 6 4
1.140930e+14 2.637818e+00 4.010916e+00 2.152978e-02 3.993958e+00 4.245772e-03 5.390586e-03 6 4
1.392133e+14 2.757364e+00 4.326708e+00 2.516934e-02 4.305494e+00 4.927185e-03 5.845865e-03 6 4
1.735952e+14 2.899083e+00 4.674738e+00 3.121372e-02 4.683803e+00 -1.935299e-03 6.664182e-03 6 4
2.211757e+14 3.066650e+00 5.058719e+00 4.141204e-02 5.147678e+00 -1.728140e-02 8.044801e-03 6 4
2.888135e+14 3.267281e+00 5.763807e+00 5.573321e-02 5.722479e+00 7.222082e-03 9.739346e-03 6 4
3.853775e+14 3.505229e+00 6.346686e+00 9.146261e-02 6.442812e+00 -1.491988e-02 1.419607e-02 6 4
5.289732e+14 3.794882e+00 7.168017e+00 1.498898e-01 7.356267e+00 -2.559051e-02 2.037580e-02 6 4
8.039197e+14 4.230229e+00 8.609977e+00 3.096250e-01 8.758417e+00 -1.694818e-02 3.535171e-02 6 4
5.661961e+13 2.108653e+00 2.744071e+00 2.378300e-02 2.695078e+00 1.817867e-02 8.824607e-03 6 5
6.091211e+13 2.140917e+00 2.815870e+00 1.154767e-02 2.809977e+00 2.097340e-03 4.109525e-03 6 5
6.951153e+13 2.201042e+00 2.928467e+00 1.217129e-02 2.943379e+00 -5.066326e-03 4.135143e-03 6 5
8.046644e+13 2.270530e+00 3.083415e+00 1.349171e-02 3.099093e+00 -5.058931e-03 4.353438e-03 6 5
9.445334e+13 2.350266e+00 3.269201e+00 1.412064e-02 3.281923e+00 -3.876473e-03 4.302550e-03 6 5
1.125454e+14 2.442086e+00 3.508149e+00 1.660182e-02 3.497973e+00 2.909016e-03 4.746127e-03 6 5
1.361360e+14 2.547644e+00 3.759138e+00 1.942302e-02 3.755079e+00 1.080899e-03 5.172466e-03 6 5
1.678512e+14 2.671396e+00 4.096158e+00 2.324608e-02 4.063408e+00 8.059536e-03 5.720833e-03 6 5
2.109958e+14 2.816429e+00 4.416689e+00 2.950688e-02 4.436294e+00 -4.419245e-03 6.651244e-03 6 5
